"Date","Price","Open","High","Low","Change %"
"04/26/2024","4.9607","4.9710","4.9900","4.9320","-0.16%"
"04/25/2024","4.9685","4.8980","5.0030","4.8690","1.23%"
"04/24/2024","4.9080","4.8810","4.9280","4.8570","0.82%"
"04/23/2024","4.8680","4.9120","4.9460","4.8512","-0.94%"
"04/22/2024","4.9140","4.9468","4.9682","4.8910","-0.47%"
"04/19/2024","4.9370","4.9300","4.9410","4.8650","0.00%"
"04/18/2024","4.9370","4.8840","4.9460","4.8320","1.27%"
"04/17/2024","4.8752","4.9430","4.9664","4.8526","-1.13%"
"04/16/2024","4.9310","4.8780","4.9785","4.8490","0.62%"
"04/15/2024","4.9007","4.8611","4.9590","4.8370","1.57%"
"04/12/2024","4.8250","4.8990","4.9085","4.7993","-1.57%"
"04/11/2024","4.9020","4.8940","4.9655","4.8496","0.00%"
"04/10/2024","4.9020","4.6600","4.9262","4.6280","5.17%"
"04/09/2024","4.6610","4.7020","4.7115","4.6320","-0.88%"
"04/08/2024","4.7025","4.6712","4.7120","4.6640","3.19%"
"04/05/2024","4.5572","4.5600","4.6670","4.5370","0.00%"
"04/04/2024","4.5572","4.5880","4.6260","4.5457","-0.93%"
"04/03/2024","4.6000","4.6130","4.6680","4.5830","-0.39%"
"04/02/2024","4.6180","4.6140","4.6570","4.5700","-0.02%"
"04/01/2024","4.6190","4.4847","4.6330","4.4790","2.31%"
"03/29/2024","4.5146","4.5020","4.5020","4.5020","0.00%"
"03/28/2024","4.5146","4.4780","4.5332","4.4720","0.98%"
"03/27/2024","4.4710","4.5040","4.5148","4.4564","-0.93%"
"03/26/2024","4.5130","4.5160","4.5458","4.4870","-0.04%"
"03/25/2024","4.5150","4.4658","4.5270","4.4573","-0.27%"
"03/22/2024","4.5270","4.5320","4.5350","4.4622","0.00%"
"03/21/2024","4.5270","4.5070","4.5460","4.4480","0.02%"
"03/20/2024","4.5260","4.5860","4.5944","4.5052","-1.31%"
"03/19/2024","4.5860","4.6390","4.6400","4.5743","-0.99%"
"03/18/2024","4.6319","4.5760","4.6470","4.5596","1.33%"
"03/15/2024","4.5710","4.5710","4.6240","4.5340","0.00%"
"03/14/2024","4.5710","4.4970","4.5800","4.4550","2.06%"
"03/13/2024","4.4786","4.4440","4.4970","4.4060","0.67%"
"03/12/2024","4.4490","4.4010","4.4660","4.3491","1.53%"
"03/11/2024","4.3820","4.3760","4.3940","4.3323","0.07%"
"03/08/2024","4.3790","4.3750","4.3970","4.2734","0.00%"
"03/07/2024","4.3790","4.4280","4.4630","4.3693","-1.15%"
"03/06/2024","4.4300","4.4353","4.4750","4.3753","0.09%"
"03/05/2024","4.4260","4.4880","4.5060","4.3986","-1.45%"
"03/04/2024","4.4910","4.4590","4.5010","4.4170","1.24%"
"03/01/2024","4.4360","4.5055","4.5460","4.4178","-1.97%"
"02/29/2024","4.5250","4.5264","4.5800","4.4850","-0.13%"
"02/28/2024","4.5307","4.5764","4.5900","4.5190","-1.17%"
"02/27/2024","4.5844","4.5720","4.6070","4.5200","0.07%"
"02/26/2024","4.5810","4.5750","4.6010","4.5110","0.51%"
"02/25/2024","4.5577","4.5750","4.5750","4.5577","-0.55%"
"02/23/2024","4.5830","4.5760","4.6180","4.5248","0.00%"
"02/22/2024","4.5830","4.5428","4.5968","4.4930","1.35%"
"02/21/2024","4.5220","4.4900","4.5580","4.4380","0.56%"
"02/20/2024","4.4970","4.5125","4.5640","4.4410","1.15%"
"02/19/2024","4.4460","4.5125","4.5125","4.5125","0.00%"
"02/16/2024","4.4460","4.4575","4.6170","4.4470","0.00%"
